,0
0,-1820.2027835409683
1,-1779.7019021529795
2,-1780.9835434833055
3,-1766.1140633300477
4,-1758.4298998310626
5,-1728.8307226957975
6,-1702.617353615239
7,-1696.538241015071
8,-1694.3669531857768
9,-1666.7562003017804
10,-1666.5062465864116
11,-1631.3054727654826
12,-1614.921803596032
13,-1579.920168698182
14,-1559.5978543274596
15,-1557.7516442630954
16,-1557.1262662591039
17,-1541.9068944048752
18,-1544.1383846637443
19,-1526.3963346621158
20,-1510.2637525190728
21,-1494.6458401712741
22,-1491.664771010261
23,-1475.8378272790933
24,-1478.0612110814782
25,-1456.6827861050274
26,-1433.589740309615
27,-1450.9790379477802
28,-1429.0716423927054
29,-1402.8525688441127
30,-1374.2566610321205
31,-1368.650058431877
32,-1365.3965462285514
33,-1352.976557463213
34,-1329.1429587073146
35,-1336.2367629395746
36,-1334.9092139070008
37,-1360.091849474852
38,-1361.5356243534238
39,-1368.802953936127
40,-1366.3226030571905
41,-1345.4062483591538
42,-1359.4861679233877
43,-1359.3511470008891
44,-1358.9184719728771
45,-1345.577430947272
46,-1331.1111635361335
47,-1315.1184350373105
48,-1302.8220106548047
49,-1315.4693548163514
50,-1295.5049922493527
51,-1272.3740100481282
52,-1258.561864400355
53,-1261.8063873551225
54,-1249.0131185008245
55,-1263.9230174080683
56,-1248.8564991613314
57,-1278.0936618866506
58,-1292.1743320465698
59,-1291.9419252208868
60,-1286.3312717285075
61,-1272.23317662175
62,-1256.68214711744
63,-1252.001244878046
64,-1257.8793683869567
65,-1255.2397853278824
66,-1256.3256607830112
67,-1244.3507425529567
68,-1231.3975075216817
69,-1224.1458005315003
70,-1203.1479728049055
71,-1203.6737166340224
72,-1187.747283717755
73,-1206.7782487609666
74,-1203.0023546258847
75,-1212.7451406065554
76,-1208.2037484938985
77,-1207.3081429625497
78,-1234.6547236220938
79,-1239.2842538131008
80,-1226.3473595593146
81,-1257.7114423598
82,-1282.8832942162705
83,-1286.494197230682
84,-1289.3518162208231
85,-1300.0053672291112
86,-1316.3755149985427
87,-1307.2237005132818
88,-1314.0325954663147
89,-1309.1250841911296
90,-1307.2058777001446
91,-1315.9782985753982
92,-1314.963017598803
93,-1302.2963824220742
94,-1290.962390758039
95,-1291.8983296826323
96,-1331.610575360811
97,-1340.8888133903502
98,-1346.6546949574433
99,-1335.7734875169506
100,-1339.7029016603633
101,-1321.746532235553
102,-1332.6887673237002
103,-1320.8646587398453
104,-1331.2608821505983
105,-1331.829703988729
106,-1343.1977476233842
107,-1322.2167325672174
108,-1362.4770475394653
109,-1357.7155656312086
110,-1368.382739427615
111,-1360.0719118269103
112,-1349.6758498603765
113,-1356.8784640580934
114,-1374.6926852398904
115,-1367.3251202616223
116,-1381.757581949227
117,-1370.5901322975878
118,-1352.0970166830941
119,-1355.6068932897906
120,-1349.9841259180557
121,-1346.4531924355003
122,-1355.0539402371103
123,-1347.318842068787
124,-1364.8183401401668
125,-1366.8948777235357
126,-1382.3059204976425
127,-1394.6655069532821
128,-1437.2657142646342
129,-1451.949582644336
130,-1461.5163100959828
131,-1468.14515891808
132,-1496.680970142349
133,-1522.7098026401068
134,-1504.138649510655
135,-1546.3679424531458
136,-1571.546858753015
137,-1554.9169157140334
138,-1557.903060001711
139,-1537.0525201929547
140,-1519.5972951042377
141,-1546.0393079858932
142,-1546.5303859158837
143,-1544.2196110679424
144,-1561.679150844248
145,-1547.5705789976068
146,-1536.9503483665223
147,-1530.6933214237974
148,-1512.744608514372
149,-1530.0668176479567
150,-1520.0350284226556
151,-1485.567488258823
152,-1465.7840983623935
153,-1464.3335061894716
154,-1456.9049548031317
155,-1467.232528432573
156,-1476.3410997311655
157,-1489.2137242981144
158,-1506.1740958024675
159,-1519.032898252716
160,-1546.402039229486
161,-1565.5152911877785
162,-1581.2780144129931
163,-1588.2440453071683
164,-1588.9791127382216
165,-1565.5387561808363
166,-1567.1154529851106
167,-1541.1050084451551
168,-1532.701832210142
169,-1517.4764321449518
170,-1496.9878514967188
171,-1488.8602365449292
172,-1475.8741660794678
173,-1476.2600003614673
174,-1476.1146713352935
175,-1468.8226794803288
176,-1469.8982668082094
177,-1469.054606121661
178,-1472.0629207794948
179,-1456.0574304263182
180,-1441.9241469658039
181,-1434.9004866680714
182,-1415.924942419822
183,-1408.6136868812014
184,-1379.9288854861097
185,-1355.657302733944
186,-1350.599824514958
187,-1357.9707186980909
188,-1334.5573793139365
189,-1348.5610381632728
190,-1345.452832461963
191,-1323.882757149137
192,-1325.5913099064012
193,-1307.9422469368715
194,-1309.7361908795378
195,-1295.9566021170654
196,-1274.9709290332796
197,-1265.6553191951107
198,-1270.9729377843455
199,-1254.7712263381445
200,-1280.597550745396
201,-1275.5320865645813
202,-1269.4505940158883
203,-1272.0957003180613
204,-1274.0905851039997
205,-1282.6596366874862
206,-1308.5643509407016
207,-1305.3524734061418
208,-1291.9609480996767
209,-1303.2362995534813
210,-1294.4918757635776
211,-1301.058604537511
212,-1289.2518797219757
