,0
0,-3987.358781808839
1,-3926.3776500154
2,-3932.1188781236924
3,-3941.7487525603697
4,-3936.592124699836
5,-3919.3291111130807
6,-3861.1818150209965
7,-3860.1639014082643
8,-3830.0799903639872
9,-3796.9639177437753
10,-3744.425279190058
11,-3747.978682766341
12,-3726.538519745814
13,-3789.3785544142543
14,-3751.2899408061357
15,-3679.619609131713
16,-3617.7510516099496
17,-3546.9409161538456
18,-3481.4698786279714
19,-3467.024872917629
20,-3462.5138003731627
21,-3468.206812562751
22,-3494.387059411225
23,-3514.4954250205933
24,-3579.0885658784628
25,-3643.5785176679283
26,-3619.405357128108
27,-3612.460193658705
28,-3610.882515608187
29,-3638.8796475999816
30,-3635.4802089763957
31,-3629.966803619675
32,-3606.5929379630034
33,-3579.3704915085996
34,-3550.264716603367
35,-3523.4261565121383
36,-3536.544672254641
37,-3555.129201477874
38,-3571.4044283496205
39,-3587.091476442196
40,-3590.275610179078
41,-3569.842872379667
42,-3537.6186849929945
43,-3550.8933333958107
44,-3530.0827251714954
45,-3544.841481583008
46,-3575.250172980167
47,-3586.5613264075005
48,-3607.056686092539
49,-3556.5689813103513
50,-3515.9588811040667
51,-3485.7776418149065
52,-3467.868793283484
53,-3439.8033767292045
54,-3402.9030543863364
55,-3371.3298477059748
56,-3325.779365461245
57,-3322.6306235711772
58,-3319.912442034231
59,-3309.80550250748
60,-3298.5173409357135
61,-3370.3341741898726
62,-3387.3172432484153
63,-3424.9651592290406
64,-3443.321880305606
65,-3438.611356006701
66,-3445.195688788515
67,-3406.95868020043
68,-3360.3623205036524
69,-3353.6262299676655
70,-3323.702370680402
71,-3314.034240317046
72,-3320.2980802307684
73,-3286.598422924475
74,-3252.021259790287
75,-3272.3459276680683
76,-3297.0512867529783
77,-3321.895160039367
78,-3316.452158085642
79,-3313.884062574878
80,-3348.9291457542727
81,-3387.2694451561556
82,-3375.982716568033
83,-3385.8185643782012
84,-3385.212208824086
85,-3383.272038636973
86,-3421.8763470386293
87,-3411.467021108652
88,-3383.4265766792437
89,-3380.059399645577
90,-3360.1051729492524
91,-3341.8862715171063
92,-3334.893677557074
93,-3335.5544786687433
94,-3402.1639353641835
95,-3478.2614785979167
96,-3518.672474693624
97,-3555.6635781470704
98,-3551.4498509845544
99,-3547.8575113221386
100,-3564.885374027543
101,-3607.0975620204645
102,-3573.263957952919
103,-3563.490008136328
104,-3539.548627770616
105,-3524.239186840086
106,-3537.012495411545
107,-3573.3615873143513
108,-3584.4746725047053
109,-3609.659969553549
110,-3591.4718201143946
111,-3560.5327617790717
112,-3537.8225347847188
113,-3533.500316449221
114,-3531.5126178248247
115,-3524.0828551278632
116,-3556.915038771943
117,-3566.0723038138403
118,-3613.4218164158565
119,-3588.2637615084104
120,-3628.3287801063707
121,-3716.742578138027
122,-3829.9127627755306
123,-3766.627997914426
124,-3700.4370282430887
125,-3641.508293285402
126,-3587.6547501236237
127,-3531.333756798966
128,-3484.931517366888
129,-3442.5159657098093
130,-3438.8380612486417
131,-3393.3453726446915
132,-3368.654248092539
133,-3362.088455630481
134,-3377.058797924936
135,-3406.438418558201
136,-3430.7249498812157
137,-3446.365037840775
138,-3467.0582180281353
139,-3466.2384006076304
140,-3447.039576437892
141,-3409.6446449437394
142,-3360.3018526437477
143,-3337.5516939113627
144,-3388.26151256156
145,-3462.3913535403267
146,-3566.0400001940784
147,-3647.2840030722227
148,-3655.597483899091
149,-3615.96995554389
150,-3578.8286680077167
151,-3561.0079236445886
152,-3498.8264790435587
153,-3453.7225879778575
154,-3401.6304840717407
155,-3393.8582101821034
156,-3394.697212069473
157,-3382.4162874257604
158,-3347.931703003002
159,-3315.439148565407
160,-3277.2383581015815
161,-3255.6197893040403
162,-3247.2706935148594
163,-3283.140094032126
164,-3257.112197774073
165,-3297.1163505998456
166,-3283.7376238976954
167,-3223.811035690261
168,-3188.9104212973552
169,-3171.057528896782
170,-3194.0033613659903
171,-3159.1279477454336
172,-3153.0579816323716
173,-3129.5997688386306
174,-3148.814539447397
175,-3136.315999947929
176,-3120.6344122835667
177,-3113.852358153193
178,-3118.663819916855
179,-3104.9901662399534
180,-3148.7483953879973
181,-3166.802371990541
182,-3166.5084735374585
183,-3162.9426037678018
184,-3135.823139409036
185,-3100.804145965379
186,-3074.3292136210193
187,-3062.768707528245
188,-3104.954541480543
189,-3051.2502693704414
190,-3025.7531239191358
191,-3004.809859694989
192,-2993.7152561871235
193,-2985.644595805916
194,-3046.9476616051234
195,-3090.2930870718474
196,-3174.266292054855
197,-3226.457619006411
198,-3212.1979743850247
199,-3128.138080213809
200,-3116.1003491136225
201,-3043.3891205254863
202,-2998.6975613807463
203,-2972.2473718382707
204,-2939.765115277284
205,-2919.6770296873556
206,-2936.5861801916553
207,-2919.1802748736563
208,-2960.1076289881867
209,-2993.8020287330387
210,-3010.603306370229
211,-3000.082986598535
212,-2949.8620761896577
213,-2916.2330344545353
214,-2874.514078656413
215,-2853.9702601602003
216,-2850.8343555575716
217,-2824.707605292144
218,-2788.3917335798287
219,-2735.4873783627118
220,-2701.973337985586
221,-2672.404890848796
222,-2636.571391022616
223,-2612.2854458285856
224,-2593.1754658620434
225,-2629.5876693085966
226,-2676.1966601862696
227,-2739.059213149007
228,-2708.5237918083794
